model,actual_w,predicted_w
Linijinė regresija,0.0,810.7453268172312
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,810.0270728516743
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,745.9387845245137
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,757.8173392849267
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,606.3961322162277
Linijinė regresija,0.0,449.31838014080586
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,443.86340112838934
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,413.981938271344
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,340.0505255544622
Linijinė regresija,0.0,225.82604935283507
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,190.90119352260535
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,210.35834982583856
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,309.25916638452236
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,400.7550242530169
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,440.33139475511507
Linijinė regresija,0.0,475.1869611827542
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,516.7528611473599
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,486.1682771887072
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,657.9066894352864
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,667.7545226535394
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,806.149375863818
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,855.4173270358924
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,730.4542513706647
Linijinė regresija,0.0,0.0
Linijinė regresija,0.0,699.0070796780792
Linijinė regresija,0.0,0.0
Linijinė regresija,56.74523809523809,903.5323220169821
Linijinė regresija,198.864285714,0.0
Linijinė regresija,875.88,1421.6879213268649
Linijinė regresija,768.36607143,93.99585944999217
Linijinė regresija,1520.5695238095238,2086.271604559858
Linijinė regresija,1268.86428573,814.2787842846328
Linijinė regresija,2379.398571428572,2918.327365383525
Linijinė regresija,2311.65178565,1827.8294492048344
Linijinė regresija,4134.133333333333,4574.046080337122
Linijinė regresija,3861.6642857,4323.04725586049
Linijinė regresija,3907.063333333333,4781.858323110092
