model,plant_id,max_power_w,mean_daytime_power_w,mae_w,pct_of_max,pct_of_mean
Linijinė regresija,4135001,29048.955358,11083.978716618374,838.8514053823685,2.8877162536288976,7.568143415185975
Linijinė regresija,4136001,22419.533333333333,7790.833619731379,1238.5335632583494,5.524350328099378,15.897317587704471
Random Forest,4135001,29048.955358,11083.978716618374,444.7024899322751,1.5308725716699665,4.012119666609663
Random Forest,4136001,22419.533333333333,7790.833619731379,886.5086025416606,3.9541795512023468,11.378867086783282
