model,radiation_level,n,irradiation_min,irradiation_max,mae_w,r2
Linijinė regresija,žema,246,1.2796612e-06,0.1725242038,588.4689930464639,0.8394166840019097
Linijinė regresija,vidutinė,246,0.1741159716666666,0.4330104273333333,1233.7909768277354,0.5212828188446648
Linijinė regresija,aukšta,246,0.4341903689655172,1.2216518466666668,2898.67055982976,0.37484904743394387
Random Forest,žema,246,1.2796612e-06,0.1725242038,145.13378754055267,0.9806899266796086
Random Forest,vidutinė,246,0.1741159716666666,0.4330104273333333,1006.3507682881661,0.6832886093835264
Random Forest,aukšta,246,0.4341903689655172,1.2216518466666668,2324.4476697032974,0.4618394726863986
